new_scan,angle,distance
True,128.78125,1518.0
False,112.375,2071.75
False,115.3125,1909.5
False,118.203125,1776.25
False,121.046875,1728.25
False,123.984375,1583.75
False,126.828125,1542.5
False,129.65625,1514.75
False,255.015625,355.0
False,260.375,372.75
False,263.3125,362.75
False,266.515625,364.75
False,269.15625,367.75
False,271.875,372.0
False,274.71875,377.25
False,277.5,383.25
False,280.296875,390.25
False,283.359375,399.0
False,286.0,409.5
False,288.75,399.75
False,295.96875,0.0
False,298.8125,0.0
False,296.453125,541.5
False,298.984375,564.5
False,301.6875,590.25
False,304.4375,619.75
False,307.1875,652.0
False,309.8125,693.0
False,312.4375,738.75
False,315.109375,795.0
False,317.828125,860.5
False,320.59375,938.75
False,323.359375,1038.75
False,326.09375,1135.25
False,328.9375,1139.0
False,331.625,1338.25
False,339.625,2618.5
False,342.390625,3073.0
False,345.21875,3560.25
False,347.96875,3619.5
True,350.765625,4062.0
False,353.609375,4073.25
False,357.0625,1490.25
False,359.90625,1500.25
False,9.796875,0.0
False,12.625,0.0
False,7.84375,3883.5
False,10.890625,2290.25
False,13.71875,2295.75
False,16.515625,2312.75
False,19.359375,2381.0
False,21.921875,4375.25
False,24.703125,5285.75
False,27.546875,4977.0
False,33.265625,4444.75
False,36.15625,4255.25
False,39.0,4071.5
False,41.859375,3908.5
False,44.71875,3782.0
False,47.546875,3664.75
False,50.390625,3559.25
False,53.25,3335.75
False,56.09375,3269.5
False,58.828125,3208.25
False,61.65625,3153.75
False,64.484375,3126.25
False,67.296875,3211.5
False,70.140625,3190.0
False,72.9375,3167.0
False,75.765625,3154.75
False,78.578125,3152.5
False,81.390625,3167.0
False,84.34375,3191.0
False,87.171875,3206.25
False,90.0,3245.25
False,92.828125,3271.0
False,95.671875,3324.75
False,98.484375,3387.0
False,101.40625,2916.25
False,104.25,2694.75
False,107.09375,2424.25
False,109.953125,2221.5
False,112.796875,2075.25
False,115.703125,1868.5
False,118.546875,1787.5
False,121.484375,1661.25
False,124.34375,1577.0
False,127.15625,1535.25
False,130.0,1514.25
False,254.953125,344.5
False,263.171875,361.75
False,265.71875,364.5
False,268.671875,367.75
False,271.3125,371.5
False,274.328125,376.25
False,276.96875,382.25
False,279.796875,389.0
False,282.4375,397.5
False,285.203125,407.5
False,288.078125,401.5
False,290.65625,426.5
False,295.890625,538.25
False,298.640625,559.0
False,300.984375,583.5
False,303.84375,612.75
False,306.53125,644.5
False,309.109375,684.0
False,311.78125,726.5
False,314.484375,779.0
False,317.21875,843.5
False,319.84375,917.25
False,322.5,1013.0
False,325.40625,1130.5
False,328.25,1130.0
False,330.921875,1280.5
False,341.5,3527.5
False,344.328125,3479.75
False,347.140625,3620.0
True,349.875,4055.5
False,352.71875,4070.75
False,356.140625,1496.0
False,358.96875,1497.25
False,1.765625,1509.5
False,11.65625,0.0
False,14.484375,0.0
False,9.9375,2330.0
False,12.703125,2313.5
False,15.5625,2309.5
False,18.34375,2383.5
False,23.640625,5431.5
False,26.5,5091.25
False,29.296875,5241.5
False,32.15625,4544.25
False,35.015625,4324.0
False,37.84375,4145.25
False,40.6875,3975.75
False,43.53125,3822.25
False,46.375,3703.0
False,49.1875,3600.5
False,52.03125,3496.25
False,54.90625,3292.5
False,57.71875,3240.75
False,60.421875,3183.0
False,63.25,3139.5
False,66.03125,3101.0
False,68.84375,3195.75
False,71.640625,3178.75
False,74.46875,3154.75
False,77.28125,3161.25
False,80.09375,3161.75
False,83.015625,3180.0
False,85.8125,3196.75
False,88.625,3219.75
False,91.421875,3267.0
False,94.28125,3305.75
False,97.0625,3345.75
False,99.90625,3273.5
False,102.796875,2781.75
False,105.6875,2562.75
False,108.4375,2326.5
False,111.296875,2220.25
False,114.15625,1965.5
False,117.078125,1763.5
False,119.8125,1817.0
False,122.71875,1648.25
False,125.546875,1599.0
False,128.421875,1518.0
False,255.125,364.5
False,260.6875,369.5
False,263.578125,363.0
False,266.515625,365.0
False,269.484375,367.75
False,272.0625,372.0
False,274.984375,377.25
False,277.5,383.25
False,280.3125,390.0
False,283.140625,398.75
False,285.578125,408.75
False,288.640625,399.75
False,295.796875,0.0
False,298.609375,0.0
False,296.125,540.75
False,298.75,562.5
False,301.28125,586.25
False,304.078125,616.0
False,306.734375,648.5
False,309.3125,687.25
False,312.03125,730.75
False,314.65625,784.25
False,317.296875,848.0
False,319.96875,923.75
False,322.625,1019.0
False,325.5,1137.75
False,328.375,1131.5
False,330.984375,1283.0
False,338.84375,2629.25
False,341.53125,3529.75
False,344.359375,3476.75
False,347.09375,3617.0
True,349.859375,4053.0
False,352.65625,4070.75
False,356.109375,1499.75
False,358.875,1499.0
False,1.6875,1508.25
False,11.53125,0.0
False,14.34375,0.0
False,9.5,4006.75
False,12.515625,2316.5
False,15.3125,2313.5
False,18.09375,2383.75
False,23.375,5455.0
False,26.203125,5110.75
False,29.0,5105.75
False,31.84375,4575.25
False,34.65625,4367.75
False,37.46875,4169.5
False,40.265625,3992.0
False,43.109375,3850.75
False,45.90625,3719.25
False,48.734375,3612.5
False,51.546875,3525.0
False,54.359375,3310.5
False,57.1875,3248.0
False,59.875,3183.25
False,62.65625,3142.75
False,65.4375,3104.5
False,68.21875,3206.75
False,71.015625,3182.5
False,73.78125,3159.5
False,76.59375,3158.0
False,79.375,3155.75
False,82.171875,3165.0
False,85.046875,3187.75
False,87.84375,3207.25
False,90.640625,3245.25
False,93.4375,3287.5
False,96.234375,3332.5
False,99.0,3393.5
False,101.90625,2898.5
False,104.75,2624.75
False,107.453125,2457.25
False,110.28125,2227.0
False,113.125,2073.75
False,116.015625,1843.0
False,118.828125,1796.25
False,121.703125,1639.0
False,124.46875,1578.5
False,127.328125,1543.5
False,130.078125,1514.75
False,255.984375,355.75
False,261.375,362.25
False,264.0625,363.25
False,267.0625,365.75
False,269.421875,368.75
False,272.28125,372.75
False,275.203125,378.0
False,277.9375,383.75
False,280.828125,391.25
False,283.484375,399.5
False,285.875,410.5
False,288.765625,399.5
False,296.015625,0.0
False,298.796875,0.0
False,296.265625,541.5
False,299.015625,563.5
False,301.46875,587.75
False,304.171875,617.25
False,306.828125,648.75
False,309.46875,688.0
False,312.109375,730.75
False,314.671875,784.25
False,317.40625,847.5
False,319.9375,921.5
False,322.578125,1019.0
False,325.359375,1130.75
False,328.1875,1130.0
False,330.796875,1273.5
False,341.25,3538.0
False,344.078125,3476.75
False,346.796875,3623.25
True,349.53125,4050.75
False,352.296875,4067.5
False,355.6875,1523.0
False,358.5,1498.75
False,1.296875,1506.75
False,11.078125,0.0
False,13.859375,0.0
False,9.015625,3946.0
False,47.171875,3672.5
False,49.875,3571.75
False,52.578125,3484.25
False,55.296875,3284.5
False,58.015625,3224.0
False,60.59375,3179.0
False,63.265625,3139.0
False,65.953125,3100.5
False,68.609375,3202.5
False,71.296875,3178.25
False,74.0,3161.75
False,76.671875,3159.0
False,79.359375,3155.75
False,82.046875,3165.0
False,84.84375,3188.5
False,87.53125,3207.25
False,90.203125,3244.25
False,92.890625,3272.5
False,95.609375,3323.25
False,98.265625,3381.75
False,101.046875,2933.0
False,103.75,2706.25
False,106.53125,2464.0
False,109.140625,2342.75
False,111.859375,2135.25
False,114.59375,1979.0
False,117.34375,1753.25
False,120.03125,1814.75
False,122.765625,1649.0
False,125.546875,1597.25
False,128.234375,1518.25
False,130.953125,1524.5
False,194.1875,199.5
False,255.125,352.0
False,262.859375,361.5
False,265.546875,363.5
False,268.4375,366.75
False,270.84375,370.25
False,273.421875,374.75
False,276.109375,380.25
False,278.8125,386.25
False,281.453125,393.5
False,283.953125,402.5
False,286.78125,412.0
False,289.234375,401.0
False,296.453125,0.0
False,299.15625,0.0
