newscan,angle,distance
1,151.453125,0.0
0,29.09375,5233.75
0,31.953125,4566.25
0,34.828125,4329.25
0,37.640625,4169.5
0,40.453125,3982.75
0,43.296875,3842.25
0,46.125,3713.75
0,48.953125,3605.5
0,51.796875,3518.0
0,54.640625,3306.75
0,57.453125,3241.25
0,60.15625,3189.5
0,62.953125,3145.5
0,65.765625,3102.75
0,68.5625,3203.25
0,71.34375,3167.0
0,74.171875,3160.75
0,76.984375,3160.75
0,79.765625,3161.75
0,82.65625,3178.75
0,85.46875,3187.25
0,88.28125,3220.75
0,91.109375,3251.0
0,93.9375,3288.0
0,96.734375,3336.75
0,99.5625,3318.0
0,102.40625,2822.25
0,105.3125,2555.25
0,108.046875,2358.5
0,110.90625,2227.0
0,113.765625,1993.0
0,116.640625,1828.75
0,119.4375,1811.75
0,122.359375,1642.25
0,125.15625,1588.25
0,128.0,1525.25
0,130.828125,1523.0
0,255.0625,354.75
0,263.03125,361.5
0,265.921875,364.25
0,268.421875,367.5
0,271.25,371.25
0,274.0,376.0
0,276.953125,381.5
0,279.703125,388.5
0,282.25,396.75
0,284.890625,406.5
0,288.078125,405.75
0,290.4375,424.5
0,297.890625,0.0
0,300.703125,0.0
0,298.015625,557.25
0,300.65625,580.25
0,303.265625,608.0
0,305.984375,640.25
0,308.75,676.75
0,311.484375,719.0
0,313.984375,769.5
0,316.6875,830.25
0,319.359375,904.5
0,322.0,992.75
0,324.765625,1107.25
0,327.640625,1126.75
0,330.359375,1201.0
0,332.96875,1453.25
0,340.796875,3552.0
0,343.625,3479.0
0,346.4375,3624.5
1,349.125,4062.75
0,351.9375,4062.0
0,355.265625,1651.75
0,358.203125,1491.5
0,0.96875,1506.0
0,10.796875,0.0
0,13.625,0.0
0,8.796875,3905.5
0,17.015625,6282.0
0,19.828125,5872.25
0,25.453125,5191.75
0,28.28125,4917.0
0,31.125,4657.5
0,33.90625,4394.75
0,36.75,4204.25
0,39.578125,4036.5
0,42.40625,3879.0
0,45.203125,3755.25
0,48.015625,3640.75
0,50.828125,3544.5
0,53.65625,3328.0
0,56.484375,3255.5
0,59.1875,3199.0
0,61.96875,3148.25
0,64.75,3124.0
0,67.53125,3206.75
0,70.34375,3183.25
0,73.140625,3163.5
0,75.90625,3155.75
0,78.703125,3154.25
0,81.484375,3161.25
0,84.390625,3188.0
0,87.15625,3202.0
0,89.96875,3241.75
0,92.765625,3264.5
0,95.5625,3322.25
0,98.34375,3382.25
0,101.1875,2926.75
0,104.046875,2724.25
0,106.84375,2419.0
0,109.640625,2239.75
0,112.484375,2076.0
0,115.328125,1895.75
0,118.21875,1773.25
0,121.03125,1726.75
0,123.859375,1597.5
0,126.6875,1561.0
0,129.5,1513.25
0,255.625,362.0
0,260.796875,366.5
0,263.6875,363.5
0,266.671875,365.5
0,269.234375,368.0
0,272.234375,372.25
0,274.734375,377.75
0,277.328125,383.5
0,280.546875,390.0
0,282.90625,399.0
0,285.8125,408.75
0,288.765625,399.75
0,295.8125,0.0
0,298.609375,0.0
0,296.015625,540.25
0,298.84375,561.0
0,301.3125,586.0
0,304.0625,615.25
0,306.59375,648.0
0,309.328125,686.25
0,312.046875,727.75
0,314.65625,780.75
0,317.203125,843.5
0,319.9375,919.75
0,322.578125,1013.5
0,325.375,1129.75
0,328.171875,1128.25
0,330.765625,1268.75
0,341.28125,3535.5
0,344.078125,3479.75
0,346.84375,3618.75
1,349.5625,4050.0
0,352.359375,4059.5
0,355.75,1513.5
0,358.53125,1498.25
0,1.375,1507.0
0,11.1875,0.0
0,13.984375,0.0
0,9.125,3983.5
0,17.34375,6204.75
0,20.125,5836.75
0,25.734375,5156.5
0,28.5625,4904.0
0,31.359375,4622.25
0,34.15625,4390.0
0,36.984375,4195.75
0,39.78125,4013.0
0,42.59375,3874.0
0,45.390625,3736.75
0,48.203125,3634.75
0,51.0,3538.5
0,53.8125,3323.75
0,56.625,3256.0
0,59.296875,3198.0
0,62.078125,3147.25
0,64.875,3123.0
0,67.609375,3209.25
0,70.40625,3183.75
0,73.1875,3161.75
0,75.953125,3155.75
0,78.734375,3152.0
0,81.5,3162.25
0,84.375,3186.25
0,87.15625,3202.0
0,89.953125,3242.25
0,92.734375,3266.5
0,95.5,3320.75
0,98.28125,3381.75
0,101.140625,2928.75
0,103.96875,2711.0
0,106.734375,2419.25
0,109.515625,2260.25
0,112.34375,2075.25
0,115.203125,1921.25
0,118.03125,1769.5
0,120.84375,1739.5
0,123.65625,1617.75
0,126.46875,1602.0
0,129.234375,1513.75
0,254.890625,350.5
0,262.859375,361.5
0,265.78125,363.25
0,268.140625,366.75
0,271.09375,370.5
0,273.53125,375.5
0,276.5625,381.0
0,279.046875,387.5
0,282.0625,395.25
0,284.5,404.75
0,287.265625,414.75
0,290.359375,410.75
0,297.328125,0.0
0,300.09375,0.0
0,297.421875,550.75
0,300.15625,573.5
0,302.71875,600.25
0,305.328125,631.25
0,308.015625,665.0
0,310.546875,706.5
0,313.25,752.0
0,315.859375,810.0
0,318.546875,875.0
0,321.109375,961.0
0,323.875,1065.75
0,326.578125,1132.25
0,329.359375,1154.0
0,331.90625,1370.25
0,339.734375,2639.25
0,342.421875,3072.0
0,345.140625,3544.5
0,347.859375,3615.75
1,350.609375,4057.0
0,353.359375,4063.5
0,356.78125,1491.0
0,359.515625,1499.0
0,2.28125,1513.75
0,7.234375,3866.0
0,18.109375,6270.75
0,20.90625,5770.25
0,26.46875,5085.0
0,29.21875,5261.0
0,32.015625,4557.25
0,34.828125,4326.5
0,37.578125,4162.75
0,40.390625,3979.5
0,43.15625,3847.25
0,45.921875,3716.5
0,48.6875,3617.0
0,51.484375,3526.25
0,54.296875,3308.25
0,57.0625,3248.5
0,59.671875,3191.5
0,62.484375,3144.0
0,65.21875,3108.0
0,67.96875,3203.25
0,70.703125,3186.25
0,73.46875,3165.0
0,76.234375,3153.25
0,78.9375,3156.75
0,81.703125,3162.25
0,84.546875,3187.25
0,87.296875,3207.25
0,90.0625,3242.25
0,92.828125,3266.5
0,95.578125,3322.25
0,98.34375,3380.5
0,101.140625,2925.5
0,103.96875,2710.5
0,106.703125,2418.5
0,109.453125,2271.25
0,112.296875,2075.75
0,115.0625,1937.75
0,117.90625,1766.5
0,120.640625,1772.25
0,123.4375,1663.75
0,126.203125,1628.75
0,129.0625,1513.75
0,256.28125,355.0
0,261.265625,362.5
0,264.171875,363.25
0,266.734375,366.0
0,269.375,368.75
0,272.125,372.5
0,274.984375,378.0
0,277.90625,383.25
0,280.453125,390.25
0,283.28125,399.0
0,285.90625,408.75
0,288.390625,400.0
0,295.6875,0.0
0,298.4375,0.0
0,295.96875,538.75
0,298.5,559.0
0,301.0625,583.25
0,303.609375,611.0
0,306.21875,642.5
0,308.96875,679.75
0,311.578125,721.5
0,314.140625,770.0
0,316.640625,830.5
0,319.21875,901.5
0,321.859375,990.75
0,324.59375,1100.75
0,327.34375,1127.0
0,330.03125,1165.25
0,332.640625,1428.5
0,343.015625,3466.25
0,345.765625,3620.75
0,348.4375,3771.0
1,351.171875,4051.5
0,353.921875,4072.25
0,357.25,1490.5
0,359.96875,1506.0
0,9.796875,0.0
0,12.53125,0.0
0,7.671875,3873.25
0,13.140625,3697.75
0,21.21875,5793.75
0,23.984375,5408.0
0,26.734375,5074.25
0,32.25,4536.25
0,35.015625,4324.0
0,37.765625,4150.25
0,40.53125,3965.75
0,43.265625,3837.25
0,46.03125,3710.5
0,48.796875,3610.5
0,51.53125,3520.5
0,54.296875,3309.5
0,57.0625,3248.5
0,59.65625,3192.0
0,62.421875,3144.5
0,65.140625,3107.75
0,67.875,3203.75
0,70.578125,3186.25
0,73.328125,3164.5
0,76.078125,3157.0
0,78.78125,3154.75
0,81.484375,3159.5
0,84.34375,3189.5
0,87.0625,3202.0
0,89.796875,3245.25
0,92.515625,3267.5
0,95.265625,3314.0
0,97.984375,3379.0
0,100.796875,2966.25
0,103.609375,2704.0
0,106.375,2504.5
0,109.03125,2343.0
0,111.78125,2163.25
0,114.609375,1979.25
0,117.40625,1756.75
0,120.15625,1812.75
0,122.890625,1654.25
0,125.65625,1599.75
0,128.421875,1517.5
0,254.78125,348.25
0,262.3125,361.75
0,265.328125,363.75
0,268.046875,366.25
0,270.625,370.0
0,273.0,374.75
0,275.6875,380.0
0,278.515625,385.75
0,281.1875,393.25
0,284.03125,402.25
0,286.578125,412.25
0,289.6875,400.75
0,296.515625,0.0
0,299.25,0.0
0,296.5625,544.75
0,299.25,566.25
0,301.6875,590.25
0,304.296875,620.0
0,307.0,651.5
0,309.625,688.25
0,312.140625,731.75
0,314.609375,784.5
0,317.21875,849.5
0,319.890625,916.5
0,322.421875,1009.25
0,325.140625,1121.75
0,327.875,1127.25
0,330.515625,1258.75
0,333.0625,1462.5
0,340.6875,3548.0
0,343.40625,3481.5
0,346.140625,3627.75
1,348.796875,4057.0
0,351.515625,4065.0
0,354.21875,4073.25
0,357.5625,1490.5
0,0.296875,1505.75
0,10.046875,0.0
0,12.796875,0.0
0,7.875,3882.0
0,13.28125,3698.5
0,21.3125,5764.0
0,24.0625,5376.5
0,26.796875,5079.0
0,32.28125,4539.25
0,35.015625,4319.5
0,37.734375,4145.25
0,40.484375,3972.0
0,43.203125,3843.0
0,45.984375,3715.0
0,48.671875,3614.5
0,51.421875,3524.5
0,54.15625,3312.0
0,56.890625,3252.0
0,59.484375,3195.75
0,62.21875,3144.5
0,64.9375,3110.75
0,67.609375,3209.25
0,70.328125,3184.25
0,73.015625,3163.25
0,75.734375,3156.75
0,78.453125,3159.0
0,81.171875,3163.5
0,83.953125,3187.25
0,86.6875,3201.0
0,89.40625,3226.5
0,92.09375,3264.5
0,94.828125,3304.25
0,97.515625,3365.75
0,100.25,3208.25
0,103.046875,2777.0
0,105.8125,2561.25
0,108.46875,2325.5
0,111.21875,2221.5
0,114.046875,1956.75
0,116.796875,1796.5
0,119.484375,1815.5
0,122.28125,1641.75
0,124.96875,1586.0
0,127.734375,1538.75
0,130.484375,1520.0
0,194.25,196.5
0,255.40625,359.0
0,260.921875,368.25
0,263.859375,363.0
0,266.25,365.0
0,268.90625,367.75
0,271.4375,371.75
0,274.53125,376.25
0,276.8125,382.25
0,279.578125,388.75
0,282.28125,396.75
0,284.875,406.0
0,287.875,408.5
0,290.265625,417.0
0,297.46875,0.0
0,300.171875,0.0
0,297.609375,550.75
0,300.09375,573.0
0,302.5625,599.25
0,305.15625,630.25
0,307.75,661.25
0,310.28125,702.25
0,312.84375,746.25
0,315.53125,800.75
0,318.0625,865.0
0,320.53125,941.75
0,323.203125,1038.25
0,325.875,1136.5
0,328.59375,1135.25
0,331.171875,1300.75
0,341.34375,3524.5
0,344.046875,3480.25
0,346.703125,3617.0
1,349.390625,4048.25
0,352.09375,4070.0
0,355.375,1616.5
0,358.140625,1488.25
