newscan,angle,distance
1,290.453125,426.5
0,59.09375,3203.0
0,61.9375,3149.75
0,64.78125,3123.5
0,67.609375,3207.75
0,70.4375,3191.5
0,73.3125,3163.5
0,76.125,3166.0
0,78.984375,3160.25
0,81.8125,3166.5
0,84.75,3192.5
0,87.609375,3210.5
0,90.453125,3246.5
0,93.296875,3284.0
0,96.140625,3332.0
0,98.984375,3398.75
0,101.890625,2902.5
0,104.8125,2625.0
0,107.59375,2450.0
0,110.453125,2227.0
0,113.375,2074.25
0,116.3125,1834.25
0,119.125,1806.5
0,122.078125,1640.5
0,124.9375,1585.5
0,127.8125,1542.5
0,130.59375,1522.25
0,194.296875,199.5
0,256.09375,355.75
0,261.53125,361.75
0,264.359375,363.25
0,267.203125,365.75
0,269.75,369.25
0,272.578125,373.75
0,275.734375,379.0
0,278.28125,385.25
0,281.09375,393.0
0,284.0625,401.5
0,286.625,411.75
0,289.5625,401.25
0,296.765625,0.0
0,299.625,0.0
0,297.171875,548.5
0,299.953125,570.5
0,302.515625,596.5
0,305.21875,627.75
0,307.78125,663.5
0,310.546875,702.75
0,313.1875,751.0
0,315.90625,808.25
0,318.546875,879.5
0,321.265625,966.0
0,324.125,1072.75
0,326.828125,1132.5
0,329.671875,1159.5
0,332.3125,1393.25
0,343.09375,3462.25
0,345.9375,3623.25
1,348.671875,3984.25
0,351.53125,4065.0
0,354.359375,4078.0
0,357.765625,1489.75
0,0.609375,1505.25
0,10.515625,0.0
0,13.359375,0.0
0,8.5625,3901.25
0,16.859375,6409.0
0,19.734375,5986.25
0,26.78125,910.75
0,29.53125,919.5
0,32.359375,903.0
0,35.171875,906.75
0,38.0625,930.25
0,40.859375,956.5
0,43.671875,975.75
0,46.34375,1063.75
0,58.671875,0.0
0,53.953125,3323.25
0,56.796875,3256.5
0,59.515625,3195.25
0,62.359375,3147.75
0,65.15625,3107.25
0,67.96875,3207.25
0,70.796875,3186.75
0,73.609375,3162.75
0,76.453125,3157.5
0,79.265625,3158.0
0,82.09375,3165.5
0,85.015625,3190.5
0,87.828125,3208.25
0,90.671875,3251.0
0,93.515625,3288.5
0,96.3125,3334.25
0,99.15625,3392.25
0,102.03125,2908.5
0,104.953125,2623.75
0,107.71875,2452.5
0,110.5625,2222.5
0,113.46875,2068.5
0,116.359375,1834.25
0,119.21875,1808.5
0,122.140625,1640.25
0,124.90625,1585.75
0,127.78125,1541.75
0,130.609375,1519.75
0,254.921875,367.75
0,260.890625,371.5
0,263.4375,363.0
0,266.375,365.0
0,269.265625,367.75
0,272.015625,372.0
0,274.984375,377.25
0,277.265625,383.5
0,280.234375,390.25
0,283.28125,398.5
0,285.828125,409.0
0,288.609375,400.0
0,295.90625,0.0
0,298.734375,0.0
0,296.1875,541.5
0,299.109375,562.75
0,301.4375,588.5
0,304.328125,617.5
0,307.015625,650.75
0,309.5625,689.75
0,312.296875,733.75
0,314.921875,789.25
0,317.703125,855.0
0,320.296875,929.5
0,322.9375,1031.75
0,325.78125,1139.0
0,328.6875,1132.25
