newscan,angle,distance
1,267.484375,365.75
0,297.671875,551.25
0,300.296875,574.25
0,302.765625,602.0
0,305.59375,633.5
0,308.21875,670.75
0,310.90625,712.5
0,313.75,761.0
0,316.3125,822.0
0,319.0,894.25
0,321.671875,984.75
0,324.53125,1094.0
0,327.421875,1128.0
0,330.234375,1166.5
0,332.859375,1441.5
0,340.78125,3551.5
0,343.640625,3482.0
0,346.4375,3622.0
1,349.25,4056.25
0,352.078125,4078.75
0,355.515625,1561.25
0,358.375,1497.0
0,1.1875,1507.5
0,11.109375,0.0
0,13.953125,0.0
0,9.140625,3986.5
0,15.921875,933.0
0,18.859375,876.5
0,21.84375,850.25
0,24.65625,864.75
0,27.390625,919.5
0,30.046875,970.75
0,32.890625,1008.25
0,42.296875,0.0
0,45.140625,0.0
0,40.328125,3992.0
0,43.171875,3848.75
0,46.03125,3716.5
0,48.875,3610.0
0,51.75,3521.5
0,54.625,3305.75
0,57.46875,3246.5
0,60.171875,3185.25
0,63.015625,3141.25
0,65.828125,3105.5
0,68.640625,3201.5
0,71.453125,3181.5
0,74.296875,3159.0
0,77.109375,3163.25
0,79.953125,3161.75
0,82.890625,3181.0
0,85.71875,3195.25
0,88.546875,3218.75
0,91.359375,3266.0
0,94.203125,3303.25
0,97.046875,3343.5
0,99.875,3274.5
0,102.78125,2783.5
0,105.671875,2562.5
0,108.453125,2327.5
0,111.3125,2220.75
0,114.203125,1966.75
0,117.125,1753.75
0,119.9375,1816.0
0,122.84375,1649.0
0,125.65625,1601.0
0,128.578125,1517.0
0,261.859375,361.25
0,264.828125,363.25
0,267.15625,366.0
0,270.140625,369.5
0,272.9375,374.25
0,275.734375,379.25
0,278.4375,385.5
0,281.09375,393.25
0,284.265625,402.0
0,286.6875,412.0
0,289.75,401.75
0,296.859375,0.0
0,299.703125,0.0
0,297.109375,549.25
0,299.796875,571.25
0,302.421875,597.5
0,305.25,629.25
0,307.859375,664.0
0,310.5625,706.0
0,313.234375,752.25
0,315.875,810.5
0,318.53125,879.5
0,321.234375,966.25
0,324.125,1072.75
0,326.84375,1134.25
0,329.625,1159.25
0,332.296875,1392.25
0,340.265625,2681.0
0,342.984375,3507.75
0,345.8125,3620.75
0,348.578125,3846.5
1,351.390625,4060.25
0,354.21875,4074.0
0,357.671875,1490.75
0,0.515625,1506.25
0,10.359375,0.0
0,13.1875,0.0
0,8.390625,3893.0
0,15.15625,949.75
0,18.03125,877.5
0,20.921875,851.75
0,23.796875,856.25
0,26.515625,925.0
0,29.203125,948.75
0,32.03125,989.0
0,41.375,0.0
0,44.21875,0.0
0,39.390625,4046.0
0,42.21875,3886.5
0,45.078125,3761.25
