newscan,angle,distance,quality

1,269.25,2718.75,23

0,270.359375,2723.5,23

0,271.40625,2732.5,22

0,272.5,2740.25,21

0,273.609375,2752.25,22

0,274.953125,2758.5,21

0,276.0625,2772.5,23

0,277.15625,2784.25,24

0,278.25,2799.0,23

0,279.34375,2809.75,25

0,280.421875,2826.75,25

0,281.53125,2845.0,25

0,282.640625,2857.25,23

0,283.6875,2880.5,24

0,284.8125,2894.5,26

0,285.90625,2911.0,26

0,287.015625,2941.75,25

0,288.078125,3065.75,25

0,289.171875,3087.25,24

0,290.25,3115.75,24

0,291.359375,3139.75,23

0,292.4375,3173.0,23

0,293.53125,3206.75,23

0,294.625,3250.25,25

0,295.734375,3290.25,23

0,296.8125,3331.0,24

0,299.15625,3318.25,21

0,300.25,3367.0,22

0,301.34375,3425.25,25

0,302.4375,3463.0,22

0,303.53125,3521.0,20

0,304.625,3582.0,19

0,305.75,3632.0,15

0,306.8125,3698.0,20

0,307.9375,3662.5,13

0,309.0625,3446.0,22

0,310.15625,3384.0,22

0,311.28125,3315.75,24

0,312.375,3269.5,29

0,313.515625,3202.25,22

0,314.625,3165.75,20

0,315.734375,3113.75,24

0,316.84375,3066.25,23

0,317.9375,3028.5,22

0,319.078125,2967.0,20

0,320.171875,2970.75,16

0,321.25,3120.75,18

0,345.140625,2439.75,10

0,348.59375,2421.25,10

0,349.703125,2415.25,13

0,350.84375,2410.5,13

1,351.953125,2401.5,13

0,353.09375,2402.5,16

0,354.21875,2402.25,13

0,355.328125,2402.25,14

0,356.421875,2400.5,13

0,357.5625,2415.5,13

0,358.703125,2405.25,12

0,359.8125,2413.0,11

0,0.890625,2421.75,9

0,2.0625,2426.25,9

0,4.171875,2907.0,26

0,5.3125,2915.75,26

0,6.40625,2926.0,26

0,7.546875,2948.75,26

0,8.65625,2960.0,24

0,9.765625,2971.75,23

0,11.109375,2992.25,20

0,12.25,3014.0,20

0,13.359375,3043.25,23

0,14.484375,3064.5,24

0,15.625,3081.0,26

0,16.734375,3108.25,25

0,17.9375,2589.25,17

0,19.109375,2497.75,20

0,20.265625,2398.5,20

0,21.4375,2312.0,18

0,22.578125,2230.5,18

0,23.75,2146.75,20

0,24.875,2073.0,20

0,26.03125,2039.75,20

0,27.140625,2044.75,21

0,28.234375,2099.0,21

0,29.40625,2099.25,13

0,30.5625,1949.25,26

0,31.75,1852.25,26

0,32.875,1784.0,25

0,34.078125,1727.0,28

0,35.34375,1729.5,11

0,36.5,1722.25,14

0,37.6875,1662.25,17

0,38.8125,1670.25,20

0,39.96875,1694.75,17

0,41.15625,1593.25,14

0,42.296875,1593.0,20

0,43.390625,1618.0,21

0,44.515625,1626.75,26

0,45.78125,1443.75,23

0,46.90625,1449.75,21

0,48.015625,1463.25,21

0,49.203125,1465.75,22

0,50.3125,1475.75,22

0,51.515625,1415.5,21

0,52.65625,1419.25,19

0,53.75,1456.0,17

0,54.796875,1527.75,25

0,55.96875,1504.5,17

0,57.15625,1463.75,19

0,58.25,1467.75,17

0,59.671875,1305.25,20

0,60.6875,1419.25,20

0,61.828125,1440.25,22

0,63.03125,1390.25,19

0,64.125,1395.0,20

0,65.265625,1402.5,22

0,66.59375,1274.0,19

0,67.671875,1254.5,16

0,68.78125,1282.75,19

0,69.96875,1322.0,17

0,71.046875,1345.0,21

0,72.203125,1356.75,18

0,73.3125,1353.5,22

0,74.5,1349.25,22

0,75.71875,1203.75,22

0,76.953125,1187.25,20

0,78.03125,1172.5,14

0,79.296875,1135.25,20

0,80.421875,1127.25,26

0,81.546875,1135.0,20

0,82.65625,1172.75,11

