newscan,angle,distant,quality
1,18,50.140625,0.0
0,24,15.390625,0.0
0,24,8.96875,2959.5
0,22,10.046875,2971.25
0,19,11.359375,2992.75
0,20,12.453125,3013.25
0,21,13.546875,3031.5
0,25,14.65625,3056.0
0,26,15.734375,3075.75
0,24,16.84375,3103.25
0,18,18.015625,2593.0
0,19,19.140625,2497.5
0,20,20.28125,2399.0
0,19,21.375,2321.0
0,17,22.515625,2234.0
0,23,23.640625,2147.0
0,22,24.734375,2074.5
0,21,25.859375,2024.25
0,16,26.953125,2064.5
0,21,28.046875,2080.75
0,20,29.15625,2109.25
0,21,30.28125,1948.75
0,21,31.421875,1846.5
0,22,32.5625,1783.0
0,14,33.671875,1777.75
0,20,34.96875,1723.5
0,27,36.046875,1701.75
0,11,37.15625,1752.75
0,24,38.296875,1648.0
0,17,39.421875,1673.5
0,22,40.46875,1703.25
0,30,41.6875,1571.0
0,17,42.734375,1594.75
0,23,43.875,1611.0
0,13,45.078125,1452.25
0,22,46.15625,1441.25
0,21,47.25,1444.25
0,22,48.359375,1453.0
0,22,49.5,1457.75
0,22,50.546875,1464.0
0,20,51.703125,1405.5
0,17,52.8125,1413.5
0,14,53.875,1456.25
0,26,54.96875,1516.25
0,18,56.09375,1495.25
0,18,57.25,1452.75
0,17,58.375,1455.0
0,18,59.6875,1295.0
0,15,60.703125,1405.25
0,24,61.84375,1422.0
0,21,62.921875,1380.5
0,22,64.09375,1382.25
0,23,65.1875,1377.5
0,20,66.25,1402.25
0,15,67.484375,1245.0
0,18,68.59375,1285.5
0,19,69.65625,1311.0
0,21,70.796875,1334.5
0,21,71.875,1343.5
0,25,72.96875,1342.25
0,25,74.078125,1339.5
0,26,75.375,1191.75
0,19,76.4375,1179.25
0,17,77.59375,1166.25
0,16,78.78125,1140.25
0,25,79.84375,1119.75
0,25,81.015625,1118.0
0,15,82.0625,1138.75
0,0,90.109375,0.0
0,13,84.40625,1245.0
0,20,85.453125,1254.75
0,16,86.578125,1254.5
0,14,87.8125,1157.75
0,21,88.9375,1151.25
0,0,96.8125,0.0
0,29,91.109375,1286.0
0,11,92.1875,1274.75
0,18,93.421875,1180.25
0,23,94.5625,1162.75
0,15,95.609375,1182.0
0,21,96.625,1315.5
0,21,97.828125,1207.25
0,0,105.765625,0.0
0,0,106.890625,0.0
0,0,108.015625,0.0
0,9,103.09375,749.75
0,0,110.25,0.0
0,13,111.375,0.0
0,24,105.984375,980.5
0,16,107.15625,915.0
0,20,108.5625,875.0
0,22,109.6875,856.75
0,25,110.84375,847.25
0,23,111.921875,845.75
0,23,113.140625,845.75
0,23,114.296875,797.0
0,20,115.34375,826.75
0,12,116.609375,809.25
0,17,117.65625,795.25
0,19,118.90625,789.75
0,17,120.015625,792.0
0,15,121.125,806.0
0,9,122.1875,829.25
0,0,129.5,0.0
0,9,130.640625,0.0
0,0,131.765625,0.0
0,21,125.8125,1621.5
0,25,126.90625,1611.25
0,13,128.03125,1641.5
0,25,129.171875,1552.5
0,17,130.296875,1532.5
0,0,138.640625,0.0
0,0,139.78125,0.0
0,0,140.90625,0.0
0,0,142.046875,0.0
0,0,143.171875,0.0
0,0,144.3125,0.0
0,0,145.4375,0.0
0,0,146.5625,0.0
0,0,147.703125,0.0
0,0,148.828125,0.0
0,0,149.96875,0.0
0,0,151.09375,0.0
0,0,152.234375,0.0
0,0,153.359375,0.0
0,0,154.5,0.0
0,0,155.625,0.0
0,0,156.765625,0.0
0,0,157.890625,0.0
0,12,153.234375,682.5
0,10,154.25,668.75
0,0,161.296875,0.0
0,0,162.625,0.0
0,0,163.765625,0.0
0,0,164.90625,0.0
0,0,166.046875,0.0
0,0,167.1875,0.0
0,0,168.328125,0.0
0,0,169.484375,0.0
0,0,170.609375,0.0
0,0,171.765625,0.0
0,26,166.140625,1213.0
0,9,167.265625,1197.0
0,25,168.375,1209.75
0,25,169.515625,1203.0
0,25,170.671875,1203.5
0,25,171.953125,1052.0
0,16,173.0625,1061.0
0,28,174.078125,1199.5
0,28,175.265625,1199.5
0,28,176.421875,1199.0
0,25,177.515625,1200.0
0,25,178.671875,1200.5
0,25,179.90625,1200.5
0,25,181.078125,1203.75
0,25,182.234375,1209.25
0,25,183.359375,1211.25
0,25,184.515625,1213.25
0,25,185.671875,1219.25
0,25,186.75,1221.5
0,23,187.953125,1230.5
0,21,189.046875,1237.25
0,20,190.15625,1245.75
0,20,191.3125,1252.5
0,20,192.4375,1261.5
0,27,193.59375,1268.75
0,28,194.796875,1279.25
0,29,195.890625,1288.5
0,28,197.078125,1298.25
0,29,198.1875,1307.25
0,28,199.28125,1319.75
0,28,200.46875,1330.25
0,25,201.625,1341.75
0,22,202.671875,1358.0
0,26,204.078125,1372.0
0,24,205.21875,1389.25
0,28,206.3125,1406.75
0,28,207.5,1424.0
0,22,208.625,1439.75
0,22,209.734375,1460.0
0,23,210.921875,1483.5
0,0,219.078125,0.0
0,27,213.140625,1557.5
0,29,214.328125,1583.75
0,27,215.453125,1610.5
0,24,216.59375,1639.5
0,28,217.71875,1670.25
0,27,218.890625,1705.0
0,27,220.015625,1740.0
0,23,221.140625,1776.25
0,27,222.296875,1816.25
0,25,223.390625,1855.75
0,25,224.5625,1897.5
0,25,225.6875,1939.75
0,22,226.90625,1987.25
0,0,235.328125,0.0
0,0,236.484375,0.0
0,0,237.640625,0.0
0,19,231.421875,2322.75
0,22,232.5625,2395.25
0,21,233.71875,2470.5
0,19,234.859375,2556.5
0,19,235.96875,2652.25
0,16,237.140625,2749.0
0,0,245.75,0.0
0,0,246.921875,0.0
0,0,248.0625,0.0
