newscan,angle,distant,quality
1,319.09375,2996.25,21
0,222.53125,1836.25,23
0,223.59375,1873.25,25
0,224.671875,1913.25,25
0,225.734375,1955.75,24
0,226.890625,2003.0,18
0,231.21875,2324.75,18
0,232.3125,2396.75,20
0,233.390625,2466.5,19
0,234.4375,2549.0,17
0,235.515625,2637.0,18
0,236.59375,2724.75,15
0,240.953125,2954.25,24
0,242.078125,2921.0,25
0,243.15625,2905.0,25
0,244.25,2886.75,25
0,245.375,2868.25,23
0,246.46875,2847.75,25
0,247.578125,2831.25,25
0,248.65625,2818.5,25
0,249.75,2801.75,25
0,251.015625,2791.0,24
0,252.15625,2775.0,23
0,253.25,2761.75,22
0,254.359375,2755.25,21
0,255.484375,2744.0,21
0,256.5625,2738.5,21
0,257.6875,2727.0,23
0,258.796875,2723.5,23
0,259.90625,2718.25,23
0,261.015625,2713.75,23
0,262.125,2712.0,23
0,263.203125,2715.25,22
0,264.34375,2694.0,12
0,265.40625,2714.25,22
0,266.515625,2712.75,22
0,267.625,2715.25,23
0,268.734375,2716.25,23
0,269.84375,2720.5,23
0,270.953125,2727.75,23
0,272.046875,2739.5,21
0,273.140625,2747.75,21
0,274.234375,2753.5,21
0,275.609375,2768.25,22
0,276.71875,2776.25,24
0,277.84375,2792.75,25
0,278.96875,2806.75,24
0,280.078125,2817.25,25
0,281.171875,2842.0,26
0,282.28125,2849.75,24
0,283.421875,2866.25,23
0,284.546875,2887.75,25
0,285.625,2908.25,26
0,286.75,2938.5,26
0,287.859375,3046.75,23
0,288.953125,3084.75,26
0,290.078125,3114.25,24
0,291.1875,3135.5,22
0,292.28125,3167.25,22
0,293.421875,3202.25,24
0,294.515625,3242.75,24
0,295.640625,3277.5,24
0,299.09375,3310.0,23
0,300.21875,3369.25,23
0,301.328125,3410.25,25
0,302.4375,3462.5,22
0,303.578125,3517.25,21
0,304.6875,3583.75,18
0,305.78125,3639.75,16
0,306.921875,3708.25,20
0,308.046875,3557.75,14
0,309.1875,3442.5,23
0,310.328125,3376.75,21
0,311.4375,3308.5,24
0,312.578125,3262.75,28
0,313.6875,3199.5,23
0,314.8125,3146.0,19
0,315.96875,3102.25,24
0,317.078125,3058.75,23
0,318.21875,3012.75,18
0,319.359375,2948.75,24
0,320.46875,3056.0,17
0,345.859375,2430.25,9
0,347.109375,2426.25,11
0,348.234375,2420.0,9
0,349.390625,2418.5,11
0,350.53125,2415.75,13
1,351.65625,2404.5,12
0,352.796875,2404.5,15
0,353.9375,2401.5,15
0,355.0625,2403.75,12
0,356.21875,2401.25,15
0,357.375,2408.25,13
0,358.5,2404.5,13
0,359.640625,2404.25,10
0,0.765625,2422.5,10
0,1.90625,2431.5,10
0,4.109375,2907.75,25
0,5.234375,2918.25,26
0,6.375,2925.5,26
0,7.515625,2949.25,27
0,8.65625,2959.5,24
0,9.78125,2971.25,23
0,11.125,2994.0,20
0,12.265625,3013.75,20
0,13.4375,3038.75,22
0,14.578125,3065.75,24
0,15.703125,3084.25,25
0,16.859375,3111.0,25
0,18.09375,2586.0,19
0,19.28125,2483.0,19
0,20.4375,2395.0,20
0,55.53125,1522.25,17
0,56.75,1464.25,20
0,57.875,1468.5,20
0,59.234375,1315.75,21
0,60.328125,1443.5,19
0,61.5,1442.25,20
0,62.640625,1402.5,22
0,63.875,1401.5,23
0,65.0,1403.0,26
0,66.265625,1263.0,16
0,67.4375,1266.0,16
0,68.53125,1297.75,19
0,69.6875,1336.75,18
0,70.890625,1348.0,20
0,72.046875,1362.5,26
0,73.140625,1353.25,22
0,74.359375,1350.75,22
0,75.609375,1192.25,26
0,76.828125,1180.75,22
0,78.0,1173.75,18
0,79.171875,1147.5,15
0,80.40625,1123.25,24
0,81.53125,1123.0,25
0,82.671875,1148.25,13
0,85.0625,1263.25,20
0,86.46875,987.25,12
0,87.65625,972.0,18
0,89.796875,1174.5,17
0,91.203125,999.5,17
0,92.4375,958.25,24
0,93.625,943.25,21
0,94.8125,936.5,26
0,95.890625,930.75,24
0,97.140625,922.0,22
0,98.3125,916.0,24
0,99.53125,920.25,25
0,100.6875,920.25,24
0,101.765625,922.5,24
0,102.9375,928.75,24
0,104.15625,938.0,24
0,105.265625,946.75,22
0,106.421875,967.5,23
0,107.640625,983.0,26
0,108.796875,1017.25,28
0,111.15625,1044.0,15
0,112.25,1038.5,16
0,114.28125,1377.0,20
0,115.5,1358.0,22
0,117.75,1465.25,22
0,118.875,1472.0,20
0,120.078125,1504.75,13
0,121.1875,1628.5,16
0,122.421875,1528.75,23
0,123.453125,1670.75,28
0,125.90625,1599.0,13
0,127.03125,1638.5,16
0,128.1875,1570.25,28
0,129.453125,1534.25,21
0,151.84375,680.75,11
0,153.1875,679.25,9
0,164.21875,1217.25,23
0,165.390625,1215.0,25
0,166.59375,1212.5,25
0,167.8125,1210.25,26
0,168.984375,1207.0,25
0,170.15625,1211.25,23
0,171.5625,1049.5,25
0,172.5625,1202.25,26
0,173.6875,1202.0,26
0,174.9375,1198.75,28
0,176.125,1199.5,28
0,177.28125,1202.25,25
0,178.40625,1202.25,25
0,179.796875,1203.0,26
0,181.0,1207.25,25
0,182.21875,1210.0,26
0,183.40625,1212.25,25
0,184.53125,1213.5,25
0,185.734375,1221.0,25
0,186.953125,1225.75,25
0,188.15625,1234.25,23
0,189.359375,1238.25,21
0,190.546875,1246.75,20
0,191.671875,1257.0,20
0,192.859375,1268.75,28
