newscan,angle,distant,quality
1,177.515625,1202.75,28
0,253.265625,2760.5,22
0,254.34375,2753.75,22
0,255.4375,2747.25,22
0,256.53125,2739.75,21
0,257.609375,2729.25,22
0,258.703125,2724.25,23
0,259.796875,2720.75,23
0,260.890625,2715.5,23
0,262.0,2711.25,23
0,263.078125,2711.25,20
0,264.15625,2709.25,16
0,265.25,2714.5,17
0,266.34375,2713.75,22
0,267.4375,2714.75,23
0,268.53125,2717.25,23
0,269.578125,2719.5,23
0,270.6875,2726.5,23
0,271.8125,2733.0,21
0,272.875,2744.5,21
0,273.96875,2754.75,21
0,275.3125,2765.75,21
0,276.40625,2774.5,23
0,277.53125,2793.75,26
0,278.609375,2803.5,26
0,279.734375,2815.0,25
0,280.828125,2829.0,25
0,281.921875,2848.5,25
0,283.0,2865.25,23
0,284.09375,2886.0,24
0,285.234375,2901.25,25
0,286.3125,2919.0,25
0,287.421875,2952.5,25
0,288.484375,3073.0,25
0,289.609375,3105.0,26
0,290.6875,3126.75,23
0,291.796875,3147.75,21
0,292.875,3184.5,22
0,294.0,3224.75,22
0,295.09375,3261.25,25
0,296.1875,3303.75,21
0,298.53125,3306.25,17
0,299.609375,3336.75,22
0,300.71875,3387.75,23
0,301.796875,3436.5,22
0,302.921875,3481.25,23
0,304.015625,3538.75,19
0,305.140625,3598.5,17
0,306.21875,3668.25,19
0,307.328125,3724.75,20
0,308.46875,3473.25,25
0,309.5625,3441.5,23
0,310.6875,3356.5,23
0,311.828125,3291.75,25
0,312.921875,3232.75,23
0,314.046875,3181.0,22
0,315.15625,3130.0,23
0,316.28125,3100.0,24
0,317.375,3049.0,23
0,318.484375,2997.5,20
0,319.625,2944.25,24
0,320.6875,3075.75,19
0,345.796875,2424.25,9
0,347.03125,2430.5,10
0,348.171875,2426.0,10
0,349.3125,2418.75,11
0,350.421875,2407.25,13
1,351.53125,2406.75,12
0,352.640625,2403.0,14
0,353.796875,2401.75,14
0,354.90625,2408.75,13
0,356.0625,2399.25,12
0,357.171875,2404.75,13
0,358.296875,2404.5,13
0,359.40625,2417.0,13
0,0.53125,2416.75,10
0,3.828125,2904.25,12
0,4.953125,2915.0,26
0,6.0625,2920.75,26
0,7.203125,2945.5,26
0,8.34375,2957.0,25
0,9.46875,2969.5,23
0,10.765625,2982.25,22
0,11.921875,3003.75,20
0,13.0625,3028.75,23
0,14.15625,3053.5,24
0,15.328125,3076.0,26
0,16.4375,3104.25,25
