newscan,angle,distant,quality
1,101.03125,1307.5,19
0,109.171875,1437.5,9
0,110.359375,1377.0,25
0,111.40625,1372.75,27
0,112.5,1390.5,18
0,113.578125,1415.75,14
0,114.671875,1387.5,23
0,115.78125,1395.0,15
0,116.828125,1492.25,18
0,117.9375,1471.0,22
0,119.0,1473.5,18
0,120.125,1514.5,10
0,121.09375,1639.75,12
0,122.265625,1529.25,26
0,123.296875,1663.5,26
0,125.5625,1608.0,16
0,127.703125,1665.5,11
0,128.84375,1552.25,16
0,153.234375,682.5,11
0,164.796875,1217.25,25
0,165.875,1213.0,26
0,167.0,1211.5,26
0,168.171875,1207.5,26
0,169.3125,1206.25,26
0,170.5,1049.75,26
0,171.671875,1051.0,25
0,172.640625,1202.75,26
0,173.71875,1202.0,26
0,174.8125,1199.75,26
0,175.984375,1202.25,26
0,177.015625,1202.0,26
0,178.15625,1200.75,26
0,179.390625,1202.75,26
0,180.546875,1204.5,26
0,181.671875,1207.5,26
0,182.796875,1208.25,26
0,183.859375,1215.0,26
0,185.03125,1217.75,25
0,186.109375,1221.75,26
0,187.203125,1226.75,26
0,188.28125,1235.0,24
0,189.390625,1244.5,21
0,190.515625,1248.5,20
0,191.640625,1257.25,20
0,192.734375,1266.75,28
0,193.921875,1273.75,28
0,195.0,1284.25,29
0,196.109375,1293.75,29
0,197.171875,1302.0,29
0,198.28125,1312.75,29
0,199.375,1321.75,29
0,200.546875,1333.5,29
0,201.640625,1344.25,26
0,202.75,1361.5,27
0,204.078125,1380.5,27
0,205.171875,1396.0,28
0,206.28125,1409.25,28
0,207.40625,1430.0,28
0,208.515625,1446.5,23
0,209.671875,1468.75,23
0,211.84375,1540.0,28
0,213.0,1562.5,27
0,214.0625,1584.5,28
0,215.234375,1612.0,27
0,216.328125,1640.75,24
0,217.40625,1671.75,28
0,218.53125,1708.75,26
0,219.609375,1739.75,27
0,220.75,1776.0,24
0,221.875,1811.0,26
0,222.953125,1848.0,23
0,224.0625,1889.75,25
0,225.1875,1931.25,25
0,226.3125,1976.5,23
0,230.796875,2298.5,15
0,231.921875,2370.5,18
0,233.03125,2445.75,19
0,234.125,2532.5,18
0,235.25,2618.0,18
0,236.359375,2706.25,16
0,240.859375,2957.0,23
0,241.984375,2927.5,27
0,243.109375,2904.25,26
0,244.265625,2887.75,25
0,245.40625,2867.0,24
0,246.53125,2848.5,24
0,247.640625,2826.5,25
0,248.765625,2817.0,26
0,249.90625,2803.5,26
0,251.203125,2788.75,25
0,252.359375,2772.5,24
0,253.515625,2761.25,22
0,254.640625,2753.75,22
0,255.765625,2745.25,22
0,256.921875,2733.0,23
0,258.046875,2727.5,24
0,259.1875,2718.0,24
0,260.328125,2715.25,24
0,261.453125,2711.75,24
0,262.625,2713.0,23
0,263.734375,2709.0,19
0,264.875,2728.25,16
0,266.0,2710.75,16
0,267.15625,2711.75,24
0,268.296875,2717.25,24
0,269.4375,2719.75,23
0,270.5625,2724.0,23
0,271.703125,2739.5,22
0,272.84375,2743.0,22
0,273.96875,2756.75,22
0,275.328125,2762.5,22
0,276.5,2775.5,24
0,277.640625,2795.0,26
0,278.796875,2803.0,25
0,279.921875,2818.5,26
0,281.078125,2831.0,26
0,282.203125,2853.25,24
0,283.375,2869.75,24
0,284.515625,2886.25,24
0,285.671875,2907.25,27
0,286.796875,2941.5,27
0,287.953125,3061.75,28
0,289.09375,3083.25,25
0,290.234375,3113.75,25
0,291.375,3140.25,21
0,292.515625,3180.5,24
0,293.671875,3211.5,23
0,294.796875,3253.25,24
0,295.9375,3294.5,24
0,297.0625,3340.0,23
0,299.5,3328.75,23
0,300.625,3384.0,21
0,301.78125,3435.25,23
0,302.9375,3481.25,22
0,304.09375,3539.75,19
0,305.234375,3601.0,17
0,306.375,3675.25,18
0,307.515625,3750.75,19
0,308.71875,3472.0,23
0,309.859375,3401.5,20
0,311.03125,3333.5,23
0,312.1875,3274.0,27
0,313.359375,3222.25,23
0,314.515625,3180.0,23
0,315.65625,3119.0,25
0,316.828125,3068.5,23
0,317.984375,3027.5,22
0,319.15625,2966.25,22
0,320.296875,3000.0,14
0,321.4375,3130.0,13
0,345.171875,2437.5,10
0,346.34375,2426.0,9
0,347.546875,2422.0,10
0,348.71875,2417.25,9
0,349.875,2417.25,11
1,351.078125,2407.75,13
0,352.25,2402.0,15
0,353.390625,2400.5,13
0,354.578125,2404.75,16
0,355.734375,2407.25,16
0,356.890625,2406.0,16
0,358.078125,2406.5,15
0,359.234375,2406.5,14
0,0.40625,2419.75,11
0,5.0,2913.75,27
0,6.171875,2921.75,26
0,7.34375,2944.25,26
0,8.5,2957.0,25
0,9.671875,2975.75,23
0,11.03125,2994.75,20
0,12.203125,3009.75,20
0,13.34375,3033.25,23
0,14.53125,3062.25,25
0,15.71875,3083.25,26
0,16.875,3109.25,25
0,18.15625,2577.75,19
0,19.328125,2478.5,19
0,20.5625,2379.0,20
0,21.75,2291.25,18
0,22.96875,2206.5,17
0,24.140625,2116.25,21
0,25.34375,2044.0,20
0,26.5625,2050.75,22
0,27.703125,2078.5,22
0,28.875,2115.5,23
0,30.09375,1963.0,15
0,31.34375,1857.75,17
0,32.515625,1787.0,21
0,33.734375,1742.5,11
0,35.078125,1737.0,18
0,36.25,1711.5,23
0,37.46875,1675.75,9
0,38.703125,1667.0,23
0,39.859375,1694.25,18
0,41.109375,1599.75,11
0,42.265625,1593.75,20
0,43.40625,1619.25,20
0,44.625,1636.0,23
0,45.96875,1443.75,23
0,47.078125,1452.0,21
0,48.265625,1469.25,22
0,49.484375,1471.25,22
0,50.65625,1461.25,19
0,51.875,1417.5,20
0,53.09375,1430.5,17
0,54.15625,1536.5,22
0,55.328125,1534.75,27
0,56.609375,1472.75,19
0,57.765625,1467.0,20
0,59.203125,1307.5,18
0,60.328125,1322.25,21
0,61.5,1440.5,21
0,62.671875,1407.0,21
0,63.859375,1392.5,20
0,65.078125,1394.25,21
